app_id,age,employment_type,annual_income,loan_amount,loan_type,application_date,doc_complete_pct,doc_rework,aml_flag,kyc_days,credit_score,dti_ratio,past_default,risk_category,credit_days,collateral_type,property_value,ltv_ratio,legal_clearance,valuation_days,policy_deviation,fraud_flag,underwriting_days,officer_load,queue_position,reassigned,sanction_status,approved_amount,agreement_signed,insurance_done,agreement_days,disbursed,disbursement_days,total_tat,sla_breach,delay_risk
10000,29,Salaried,404902,2010825,Home,12-03-2024,66,3,0,4,382,0.21,1,High,2,Property,3022698.628,0.67,No,3,0,0,4,12,15,0,Rejected,0,0,0,0,0,0,14,0,Medium
10001,59,Salaried,1466816,7682774,Home,23-12-2024,87,0,0,3,570,0.58,0,High,3,Property,9646856.012,0.8,No,4,1,0,2,28,15,1,Rejected,0,0,0,0,0,0,14,0,Medium
10002,56,Salaried,823558,4852785,Business,09-10-2024,78,3,0,6,421,0.22,1,High,2,None,0,0,NA,0,0,0,2,8,13,0,Rejected,0,0,0,0,0,0,10,0,Low
10003,39,Salaried,2201740,10001927,Business,08-07-2024,82,1,0,4,423,0.44,1,High,2,Property,12982916.29,0.77,Yes,6,0,0,3,29,2,1,Rejected,0,0,0,0,0,0,17,0,Medium
10004,36,Self-Employed,434638,2268889,Business,03-02-2024,73,3,0,6,861,0.36,0,Low,4,Property,3083257.018,0.74,Yes,6,0,0,4,23,13,1,Approved,1979377,1,1,1,1,2,25,1,High
10005,27,Salaried,497620,2709248,Home,14-12-2024,87,0,0,1,829,0.41,0,Low,5,Property,4356931.481,0.62,Yes,6,0,0,3,8,10,0,Approved,2402975,1,1,2,1,1,18,0,High
10006,38,Salaried,2399610,12112868,Personal,16-11-2024,79,3,0,5,515,0.42,1,High,5,Property,18888403.61,0.64,Yes,2,0,0,3,12,2,0,Rejected,0,0,0,0,0,0,16,0,Medium
10007,37,Salaried,630331,1476622,Business,29-09-2024,68,1,0,5,519,0.31,1,High,5,None,0,0,NA,0,0,0,2,27,10,1,Rejected,0,0,0,0,0,0,14,0,Medium
10008,47,Self-Employed,1866239,7002875,Personal,02-03-2024,75,1,0,2,585,0.44,0,High,1,Property,11377603,0.62,No,2,0,0,3,7,17,0,Rejected,0,0,0,0,0,0,8,0,Low
10009,37,Salaried,1468018,6864321,Home,19-10-2024,96,0,0,4,834,0.52,0,Low,2,Property,8636403.734,0.79,Yes,5,1,0,2,26,4,1,Approved,5574669,1,1,3,1,2,20,1,High
10010,28,Self-Employed,1342940,3715055,Personal,12-03-2024,87,0,0,2,605,0.55,0,Medium,1,None,0,0,NA,0,1,0,2,6,18,0,Approved,3593221,1,1,1,1,1,7,0,Low
10011,32,Self-Employed,2004624,7903359,Home,31-01-2024,70,2,0,3,621,0.57,0,Medium,4,None,0,0,NA,0,1,0,5,9,7,0,Approved,6791684,1,1,1,1,1,14,0,Medium
10012,42,Salaried,539768,1187796,Business,30-01-2024,92,0,0,1,420,0.44,1,High,2,None,0,0,NA,0,0,0,2,23,20,1,Rejected,0,0,0,0,0,0,7,0,Low
10013,24,Self-Employed,643863,2367419,Personal,13-05-2024,73,3,0,6,755,0.25,0,Low,3,None,0,0,NA,0,0,0,1,5,15,0,Approved,2188044,1,1,3,1,1,14,0,Medium
10014,26,Self-Employed,1194033,4804238,Home,05-02-2024,75,2,0,5,659,0.44,0,Medium,5,Property,7690229.869,0.62,Yes,2,0,0,2,13,4,0,Approved,4698268,1,1,3,1,1,19,1,High
10015,39,Self-Employed,1481771,6548419,Personal,14-04-2024,100,0,0,3,607,0.56,0,Medium,1,Property,10350239,0.63,Yes,2,1,1,3,25,9,1,Rejected,0,0,0,0,0,0,11,0,Low
10016,32,Salaried,2153192,9057879,Business,27-02-2024,64,3,0,5,728,0.43,0,Low,2,None,0,0,NA,0,0,0,3,16,2,0,Approved,8874773,1,1,1,1,1,13,0,Medium
10017,28,Salaried,1783435,9132016,Business,01-05-2024,70,1,1,5,690,0.51,0,Medium,4,Property,12420303.61,0.74,Yes,2,1,0,2,20,8,0,Approved,7670113,1,1,2,1,2,19,1,High
10018,41,Salaried,1254604,3627931,Personal,23-07-2024,81,2,0,3,635,0.34,0,Medium,5,None,0,0,NA,0,0,0,3,5,4,0,Approved,3538711,1,1,2,1,1,14,0,Medium
10019,59,Self-Employed,1413446,3043189,Personal,25-06-2024,80,2,0,3,544,0.3,1,High,4,Property,4601156.331,0.66,Yes,3,0,0,1,26,11,1,Rejected,0,0,0,0,0,0,13,0,Medium
10020,42,Self-Employed,822716,4014045,Business,07-12-2024,86,0,0,3,652,0.42,0,Medium,2,None,0,0,NA,0,0,0,4,26,6,1,Approved,3705376,1,1,2,1,2,15,0,Medium
10021,57,Self-Employed,301702,970122,Home,23-10-2024,98,0,0,3,802,0.47,0,Low,5,None,0,0,NA,0,1,0,3,26,3,1,Approved,831159,1,1,3,1,2,18,0,High
10022,27,Salaried,1285110,6028685,Home,16-03-2024,61,1,0,3,424,0.38,1,High,5,Property,9832830.747,0.61,Yes,5,0,0,1,29,4,1,Rejected,0,0,0,0,0,0,16,0,Medium
10023,49,Self-Employed,1217886,3292611,Personal,26-01-2024,95,0,0,2,474,0.38,1,High,4,None,0,0,NA,0,0,0,4,24,17,1,Rejected,0,0,0,0,0,0,12,0,Medium
10024,49,Self-Employed,2170297,12129426,Personal,18-08-2024,76,1,0,4,883,0.39,0,Low,2,None,0,0,NA,0,0,0,3,12,9,0,Approved,10518268,1,1,3,1,1,14,0,Medium
10025,30,Salaried,932629,2727982,Personal,27-12-2024,73,1,0,5,827,0.37,0,Low,2,None,0,0,NA,0,0,0,1,29,19,1,Approved,2389920,1,1,1,1,2,13,0,Medium
10026,41,Salaried,1935722,10479595,Business,06-09-2024,74,2,0,6,748,0.33,0,Low,4,Property,17860409.37,0.59,Yes,6,0,0,4,23,19,1,Approved,9773269,1,1,1,1,2,25,1,High
10027,30,Self-Employed,2236503,6098756,Business,16-06-2024,73,2,0,5,738,0.31,0,Low,4,None,0,0,NA,0,0,0,4,5,18,0,Approved,4942536,1,1,2,1,1,16,0,Medium
10028,26,Salaried,468854,2352209,Home,11-01-2024,99,0,0,2,834,0.47,0,Low,5,Property,3478965.073,0.68,Yes,4,1,0,2,29,6,1,Approved,2335612,1,1,1,1,1,17,0,Medium
10029,41,Salaried,1874151,6721863,Personal,08-02-2024,97,0,0,2,658,0.54,0,Medium,5,Property,11277513.76,0.6,Yes,2,1,0,5,26,12,1,Approved,5470193,1,1,3,1,2,21,1,High
10030,22,Self-Employed,2061854,10905813,Home,04-07-2024,100,0,0,4,795,0.27,0,Low,5,None,0,0,NA,0,0,0,4,19,14,0,Approved,10525711,1,1,3,1,2,19,1,High
10031,42,Self-Employed,1329681,7077791,Home,18-08-2024,75,2,0,6,856,0.54,0,Low,2,None,0,0,NA,0,1,0,4,15,9,0,Approved,6908376,1,1,3,1,2,18,0,High
10032,57,Salaried,342576,1393088,Home,03-05-2024,86,0,0,4,596,0.48,0,High,4,None,0,0,NA,0,1,0,2,14,8,0,Rejected,0,0,0,0,0,0,11,0,Low
